ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000320497
  Energy(MeV/n)              u              v              w              x              y              z
   1.567296e+02   2.591979e-01   4.974231e-01  -8.278808e-01  -5.198926e+01   6.204547e+00   1.082412e+02
   1.254329e+02  -1.756687e-01  -9.637258e-01  -2.009305e-01   3.020106e+01   1.094094e+02  -5.348134e+01
   4.869601e+02   1.958787e-01  -5.450927e-01  -8.151721e-01   1.035283e+01   1.057476e+02   5.444941e+01
   5.079747e+02  -1.228837e-01   4.644036e-01  -8.770570e-01   7.800353e+01  -7.073504e+01   6.563432e+01
   9.218405e+01   6.552237e-01   6.798214e-02  -7.523698e-01  -3.447126e+01  -7.118395e+01   9.646105e+01
   7.515654e+02   4.477290e-01  -2.811639e-01  -8.488142e-01  -6.614241e+01   8.594219e+01   5.445512e+01
   3.328949e+01   6.876771e-01   3.403884e-01  -6.412768e-01  -7.502910e+01  -6.792764e+01   3.942514e+01
   3.318818e+03   1.149071e-01  -2.243889e-01  -9.677014e-01  -5.255388e+01   5.897068e+00   9.572989e+01
   3.927876e+02  -8.443061e-02  -4.136669e-01  -9.065049e-01   9.419898e+01   1.883468e+01   9.294538e+01
   3.032938e+02   3.443352e-01   3.008844e-01  -8.893266e-01  -3.167507e+00   3.007549e+01   1.213936e+02
   2.325543e+02  -1.619674e-01  -7.367502e-01   6.564798e-01  -3.602188e+01   6.081874e+01  -9.295968e+01
   2.537007e+02   5.004213e-01   6.608088e-02  -8.632565e-01  -1.632965e+01   3.513026e+01   1.090634e+02
   1.993995e+02   2.989074e-01   5.316027e-01  -7.924979e-01  -1.883458e+01  -1.261024e+02   3.449075e+01
   3.803144e+02  -3.605643e-01   4.174793e-01  -8.340890e-01   4.135166e+00  -1.112726e+02   6.240942e+01
   2.795098e+02  -1.780850e-01   1.877306e-02  -9.838360e-01  -5.553162e+01   4.571583e+01   1.125671e+02
   4.236606e+01   1.914681e-01   9.663964e-01  -1.715166e-01  -3.894147e+01  -7.900501e+01   9.441527e+01
   2.489051e+02   1.974772e-01   2.159936e-02  -9.800695e-01  -4.533138e+01  -2.585458e+01   9.232982e+01
   5.180110e+02   2.200376e-01   6.379438e-01  -7.379777e-01   2.210261e+01  -6.096204e+01   8.939707e+01
   1.526742e+03   8.591931e-02  -2.306375e-01  -9.692390e-01   5.481323e+01  -3.247488e+01   1.157603e+02
   4.283069e+02   1.572026e-01  -5.440333e-01  -8.242057e-01  -6.940533e+01   1.066669e+02   3.768349e+01
   8.878032e+02  -3.068329e-01  -1.580044e-01  -9.385564e-01   8.792576e+01   3.417696e+01   7.204828e+01
   1.290000e+02   2.345206e-01  -8.707696e-01   4.321578e-01  -5.207809e+01   9.444510e+01  -1.283488e+01
   2.188335e+02   6.828252e-01   4.029647e-02  -7.294696e-01  -6.470794e+01  -7.010133e+01   7.264313e+01
   1.194081e+02   4.779570e-01  -6.215010e-01  -6.207202e-01  -3.530029e+01   4.599228e+01   8.787169e+01
   2.346726e+02  -5.253194e-01   2.615190e-01  -8.097205e-01   1.256416e+02   1.191063e+01   4.583417e+01
   5.230966e+01   7.170104e-01   4.344285e-01  -5.451312e-01  -7.294112e+01  -1.196739e+02  -7.868391e+00
   9.789006e+01  -4.244806e-01  -1.061528e-01  -8.991929e-01  -3.866456e+01   2.377754e+01   1.266561e+02
   2.681739e+02  -4.653520e-01   8.850090e-01  -1.437423e-02   1.211149e+02  -4.876231e+01   3.366097e+01
   7.770990e+02  -4.125946e-01  -3.432488e-01  -8.437689e-01   7.965398e+01   1.102656e+02   3.470934e+01
   7.876830e+01   6.198030e-01   5.395428e-01  -5.698578e-01  -8.390159e+01  -6.514369e+01   2.254903e+01
   7.749823e+02   3.502696e-01  -7.079429e-01  -6.132928e-01   4.645688e+00   7.746830e+01   7.628348e+01
